X,Y,id,address_fo,address_ty,lat,lng,Nom de MSP,icon_url
7.5140927,43.9447682,"23","6 Rue Jules Cordier, 06540 Breil-sur-Roya, France","RUE, JULES CORDIER, 6, ALPES MARITIMES, 06540 BREIL SUR ROYA",43.944768199999999,7.514092700000000,SISA MSP DE BREIL SUR ROYA,./0.png
7.2046567,43.6744983,"24","19 Av. Martin Luther King 6, 06200 Nice, France","19, AVENUE, MARTIN LUTHER KING, 6, ALPES MARITIMES, 06200 NICE",43.674498300000003,7.204656700000000,MSP NICE LES MOULINS,./0.png
7.2025148,44.0658466,"25","6 Saint-Dalmas, 06420 Valdeblore, France","ROUTE, PRINCIPALE SAINT DALMAS, 6, ALPES MARITIMES, 06420 VALDEBLORE",44.065846600000000,7.202514800000000,MSP VALDEBLORE,./0.png
7.0473447,43.6669251,"26","4061 D2085 6, 06330 Roquefort-les-Pins, France","4061, ROUTE, DEPARTEMENTALE 2085, 6, ALPES MARITIMES, 06330 ROQUEFORT LES PINS",43.666925100000000,7.047344700000000,MSP LES COLLINES,./0.png
7.313963,43.742043,"27","06340 La Trinité, France","6, ALPES MARITIMES, 06340 LA TRINITE",43.742043000000002,7.313963000000000,MSP DE L'OLIVIER,./0.png
7.177918,43.760378,"28","Gattières, France","6, ALPES MARITIMES, 06510 GATTIERES",43.760378000000003,7.177918000000000,MSP DE GATTIERES L'ASTRAGALE,./0.png
7.004867,43.874199,"29","06910 Roquesteron, France","6, ALPES MARITIMES, 06910 ROQUESTERON",43.874198999999997,7.004867000000000,MSP DE LA VALLEE DE L'ESTERON,./0.png
7.2489156,43.7311174,"30","67 Bd Henri Sappia, 06100 Nice, France","67, BOULEVARD, HENRI SAPPIA, 6, ALPES MARITIMES, 06300 NICE",43.731117400000002,7.248915600000000,MSP AZUR NICE NORD LAS PLANAS,./0.png
7.449154,43.87793,"31","06380 Sospel, France","6, ALPES MARITIMES, 06380 SOSPEL",43.877929999999999,7.449154000000000,MSP TRANSFRONTALIERE SOSPEL,./0.png
6.9241316,44.2549713,"32","21 Bd d'Auron, 06660 Saint-Étienne-de-Tinée, France","21, BOULEVARD, D'AURON, 6, ALPES MARITIMES, 06660 ST ETIENNE DE TINEE",44.254971300000001,6.924131600000000,MSP SAINT ETIENNE DE TINEE,./0.png
7.2821674,43.705362,"33","22 Bd Risso, 06300 Nice, France","22, BOULEVARD, RISSO, 6, ALPES MARITIMES, 06300 NICE",43.705362000000001,7.282167400000000,MSP NICE CENTRE EST,./0.png
6.8518934,43.697111,"34","11 Av. Gaston de Fontmichel, 06460 Saint-Vallier-de-Thiey, France","11, AVENUE, GASTON DE FONTMICHEL, 6, ALPES MARITIMES, 06460 ST VALLIER DE THIEY",43.697111000000000,6.851893400000000,MSP SAINT-VALLIER DE THIEY,./0.png
7.0390904,43.6221273,"35","06560 Valbonne, France","6, ALPES MARITIMES, 06560 VALBONNE",43.622127300000002,7.039090400000000,MSP LES COLLINES,./0.png
7.0122134,43.6667583,"36","06650 Opio, France","6, ALPES MARITIMES, 06650 LE ROURET",43.666758299999998,7.012213400000000,MSP LES COLLINES,./0.png
7.593454,44.089097,"37","06430 Tende, France","QUARTIER, SPEGGI, 6, ALPES MARITIMES, 06430 TENDE",44.089097000000002,7.593454000000000,MSP DE LA ROYA,./0.png
7.3070443,44.0117215,"38","13 Rue Dr Matteo, 06450 Roquebillière, France","13, RUE, DU DOCTEUR MATTEO, 6, ALPES MARITIMES, 06450 ROQUEBILLIERE",44.011721500000000,7.307044300000000,MSP DE ROQUEBILLIERE,./0.png
6.9144003,43.6460325,"39","69 Av. de la Libération, 06130 Grasse, France","69, AVENUE, DE LA LIBERATION, 6, ALPES MARITIMES, 06130 GRASSE",43.646032499999997,6.914400300000000,MSP CENTIFOLIA PAYS DE GRASSE,./0.png
7.2992816,43.7351565,"40","81 Bd de l'Ariane, 06300 Nice, France","81, BOULEVARD, DE L'ARIANE, 6, ALPES MARITIMES, 06300 NICE",43.735156500000002,7.299281600000000,MAISON DE SANTE L'ARIANE,./0.png
7.1911973,43.670632,"41","970 Av. du Général de Gaulle, 06700 Saint-Laurent-du-Var, France","970, AVENUE, DU GENERAL DE GAULLE, 6, ALPES MARITIMES, 06700 ST LAURENT DU VAR",43.670631999999998,7.191197300000000,MSP DU SQUARE - ST LAURENT DU VAR,./0.png
6.9594712,43.6415752,"42","1 Pl. Louis Pasteur, 06130 Grasse, France","1, PLACE, LOUIS PASTEUR, 6, ALPES MARITIMES, 06130 GRASSE",43.641575199999998,6.959471200000000,MSP DU PLAN DE GRASSE,./0.png
7.2449349,43.8515326,"43","680 Chem. Pré des Cavaliers, 06670 Levens, France","680, CHEMIN, PRE DES CAVALIERS, 6, ALPES MARITIMES, 06670 LEVENS",43.851532599999999,7.244934900000000,MSP POLE SANTE SU FERION,./0.png
7.2441053,43.692228,"44","15 Av. de Bellet, 06200 Nice, France","15, AVENUE, DE BELLET, 6, ALPES MARITIMES, 06200 NICE",43.692228000000000,7.244105300000000,MSP MAGNAN MADELEINE,./0.png
